region,postcode,place,county,Gravemaskin - belter,Lastebiler,Hjullastere,Traktorer,Maskinhengere,Gravemaskin - hjul,Minimaskiner < 5tonn,Dumpere,Borevogner,Knuseverk,Trekkvogner,Kompressorer,Containerbiler,Bulldosere,Veghøvler,Andre,Maskiner Totalt,Registrering år,Næring,Antall ansatte,Omsetning EUR,Name
Region Sørøst,3632,Uvdal,Buskerud,3,2,2,2,1,1,1,1,0,1,0,0,1,0,0,0,15,"=""24.07.1997",Grunnarbeid (43120),8,439265,Company 1011
Region Sørøst,3057,Solbergelva,Buskerud,4,7,1,0,4,1,2,0,0,0,0,0,0,0,0,7,26,"=""05.02.1998",Bygging av veier og motorveier (42110),46,11149671,Company 1012
Region Midt,7130,Brekstad,Sør-Trøndelag,6,2,2,2,1,1,1,0,0,0,0,1,1,0,0,2,19,"=""07.02.2013",Annen spesialisert bygge- og anleggsvirksomhet (43990),20,2766359,Company 1013
Region Nord,9408,Harstad,Troms,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"=""22.08.2006",Grunnarbeid (43120),33,2972262,Company 1014
Region Midt,7740,Steinsdalen,Sør-Trøndelag,3,3,1,0,1,0,0,0,0,0,1,0,1,0,0,1,11,"=""24.08.2016",Grunnarbeid (43120),5,1429344,Company 1015
Region Midt,7240,Hitra,Sør-Trøndelag,11,2,2,1,2,1,2,1,1,2,1,0,0,0,0,0,26,,,,,Company 1016
Region Midt,7882,Nordli,Nord-Trøndelag,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8,"=""19.02.1995",Godstransport på vei (49410),7,1184338,Company 1017
Region Øst,1540,Vestby,Akershus,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,2,6,"=""14.01.2014",Grunnarbeid (43120),1,278480,Company 1018
Region Øst,2022,Gjerdrum,Akershus,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,7,,,,,Company 1019
Region Sørøst,3895,Edland,Telemark,3,2,0,1,1,0,1,1,0,0,0,0,2,0,0,0,11,"=""20.02.1995",Godstransport på vei (49410),11,,Company 1020
Region Øst,2485,Rendalen,Hedmark,11,2,2,3,1,1,1,2,0,1,0,0,0,0,1,0,25,"=""18.11.1996",Grunnarbeid (43120),18,2389802,Company 1021
Region Sørvest,4362,Vigrestad,Rogaland,2,2,0,7,1,0,1,2,0,0,0,0,0,0,0,1,16,,,,,Company 1022
Seksjon Ressurs og miljø,3249,Sandefjord,Vestfold,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,,,,,Company 1023
Seksjon Ressurs og miljø,9711,Lakselv,Finnmark,0,1,0,0,0,0,0,0,0,0,0,0,61,0,0,7,69,"=""09.01.2008",Behandling og disponering av ikke-farlig avfall (38210),25,2752832,Company 1024
Region Midt,7224,Melhus,Sør-Trøndelag,2,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,6,"=""08.03.2011",Grunnarbeid (43120),20,1817060,Company 1025
Seksjon Ressurs og miljø,3153,Tolvsrød,Vestfold,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,10,"=""20.02.1995",Avvirkning (02200),4,,Company 1026
Region Sørvest,4550,Farsund,Vest-Agder,4,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,8,,,,,Company 1027
Region Øst,1480,Slattum,Akershus,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7,"=""06.10.2006",Utleie og leasing av bygge- og anleggsmaskiner og -utstyr (77320),5,838119,Company 1028
Region Øst,1851,Mysen,Østfold,8,1,3,3,1,1,0,5,0,0,0,1,0,1,0,1,25,"=""14.05.2008",Annen spesialisert bygge- og anleggsvirksomhet (43990),145,42588658,Company 1029
Region Sørvest,4633,Kristiansand S,Vest-Agder,2,0,1,4,1,0,1,0,1,0,0,0,0,0,0,1,11,,,,,Company 1030
Region Øst,1912,Enebakk,Akershus,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,5,"=""02.01.2013",Oppføring av bygninger (41200),6,1294221,Company 1031
Region Midt,6012,Ålesund,Møre og Romsdal,8,7,3,0,2,2,2,0,0,1,2,0,0,0,0,2,29,,,,,Company 1032
Region Øst,1764,Halden,Østfold,3,3,1,1,2,0,2,0,0,0,0,1,1,0,0,2,16,"=""27.01.2012",Grunnarbeid (43120),4,1371154,Company 1033
Seksjon Ressurs og miljø,6982,Holmedal,Sogn og Fjordane,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,4,"=""16.10.2007",Tjenester tilknyttet skogbruk (02400),4,363570,Company 1034
Region Vest,5722,Dalekvam,Hordaland,6,3,2,0,2,0,0,2,0,0,0,0,0,0,0,1,16,"=""23.01.2008",Grunnarbeid (43120),14,3865455,Company 1035
Region Midt,7067,Trondheim,Sør-Trøndelag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Company 1036
Region Sørvest,4678,Kristiansand S,Vest-Agder,5,0,4,3,0,2,1,1,0,1,0,1,0,0,0,5,23,"=""05.07.2008",Grunnarbeid (43120),27,1720147,Company 1037
Region Sørøst,3570,Ål,Buskerud,5,3,3,1,2,0,0,0,0,4,0,0,0,0,0,0,18,,,,,Company 1038
Region Sørøst,3576,Hol,Buskerud,2,1,1,2,1,0,0,0,2,0,0,0,0,0,0,0,9,"=""12.12.2005",Grunnarbeid (43120),3,988198,Company 1039
Region Øst,2150,Årnes,Akershus,2,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,7,"=""09.03.2006",Grunnarbeid (43120),4,806066,Company 1040
Region Øst,2693,Nordberg,Oppland,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,2,7,"=""24.04.2002",Godstransport på vei (49410),2,161821,Company 1041
Region Sørøst,3576,Hol,Buskerud,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"=""19.04.2012",Grunnarbeid (43120),1,137127,Company 1042
Region Midt,7652,Verdal,Nord-Trøndelag,6,4,4,0,1,1,1,0,0,0,0,0,1,0,0,2,20,"=""08.10.2015",Oppføring av bygninger (41200),24,2986035,Company 1043
Region Vest,6894,Vangsnes,Sogn og Fjordane,6,2,3,2,1,0,2,1,1,1,2,2,0,1,0,3,27,"=""27.06.2012",Annen spesialisert bygge- og anleggsvirksomhet (43990),17,2127889,Company 1044
Region Vest,5843,Bergen,Hordaland,6,4,2,4,0,2,4,3,1,0,0,1,0,0,0,11,38,"=""23.03.2009",Bygging av veier og motorveier (42110),56,12847552,Company 1045
Region Vest,6985,Atløy,Sogn og Fjordane,4,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,12,"=""21.12.2009",Grunnarbeid (43120),6,707528,Company 1046
Region Sørvest,4023,Stavanger,Rogaland,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,"=""22.12.2011",Grunnarbeid (43120),1,407466,Company 1047
Region Sørøst,3125,Tønsberg,Vestfold,4,1,8,5,1,1,2,1,0,0,0,1,1,0,0,2,27,,,,,Company 1048
Region Sørøst,3550,Gol,Buskerud,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6,"=""21.07.2011",Grunnarbeid (43120),6,948321,Company 1049
Region Sørøst,3475,Sætre,Buskerud,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,5,,,,,Company 1050
Region Sørøst,3677,Notodden,Telemark,1,2,2,0,0,0,0,0,0,3,0,0,0,0,0,0,8,,,,,Company 1051
Region Øst,1362,Hosle,Akershus,2,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,6,"=""09.10.2014",Grunnarbeid (43120),1,338480,Company 1052
Region Vest,5224,Nesttun,Hordaland,0,1,0,3,0,0,0,0,1,0,0,6,0,0,0,10,21,"=""26.01.2008",Annen spesialisert bygge- og anleggsvirksomhet (43990),49,6181575,Company 1053
Region Sørvest,4306,Sandnes,Rogaland,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,4,"=""18.07.2002",Godstransport på vei (49410),1,,Company 1054
Region Øst,1747,Skjeberg,Østfold,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,6,"=""12.07.2011",Grunnarbeid (43120),2,210128,Company 1055
Region Sørøst,3530,Røyse,Buskerud,0,5,1,3,3,0,1,0,0,0,0,0,0,0,0,5,18,"=""24.06.2014",Bygging av veier og motorveier (42110),6,1049475,Company 1056
Region Vest,5863,Bergen,Hordaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"=""12.03.1995",Oppføring av bygninger (41200),98,59090731,Company 1057
Region Vest,5550,Sveio,Hordaland,4,2,0,2,1,1,0,0,1,0,0,0,0,0,0,0,11,"=""27.04.2015",Grunnarbeid (43120),9,1583630,Company 1058
Region Øst,2730,Lunner,Oppland,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,2,6,"=""25.03.2006",Elektrisk installasjonsarbeid (43210),,,Company 1059
Region Sørøst,3648,Passebekk,Buskerud,3,1,1,2,1,0,0,0,0,0,0,1,0,1,0,1,11,,,,,Company 1060
Region Øst,1870,Ørje,Østfold,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,5,"=""08.03.2011",Oppføring av bygninger (41200),1,488083,Company 1061
Region Sørøst,3140,Nøtterøy,Vestfold,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,8,"=""14.03.2011",Beplantning av hager og parkanlegg (81300),11,1678601,Company 1062
Region Sørøst,3697,Tuddal,Telemark,4,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,10,,,,,Company 1063
Region Sørøst,4865,Åmli,Aust-Agder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"=""21.01.2009",Grunnarbeid (43120),22,3197833,Company 1064
Region Midt,7037,Trondheim,Sør-Trøndelag,2,0,2,5,0,2,3,0,0,0,0,0,0,0,0,3,17,"=""24.04.2008",Grunnarbeid (43120),15,2031177,Company 1065
Region Vest,5462,Herøysundet,Hordaland,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,"=""14.12.2006",Grunnarbeid (43120),5,1040425,Company 1066
Region Vest,5264,Garnes,Hordaland,4,0,0,2,0,0,4,1,0,0,0,0,0,0,0,0,11,"=""19.02.1995",Utleie av egen eller leid fast eiendom ellers (68209),,999277,Company 1067
Region Nord,9910,Bjørnevatn,Finnmark,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,5,"=""31.01.2009",Grunnarbeid (43120),6,785084,Company 1068
Region Vest,5179,Godvik,Hordaland,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,10,15,"=""10.07.2014",Bygging av veier og motorveier (42110),14,6763642,Company 1069
Region Sørvest,4820,Froland,Aust-Agder,10,2,3,0,0,0,2,5,0,0,0,0,0,1,0,0,23,"=""17.08.2010",Grunnarbeid (43120),30,8064021,Company 1070
Region Sørøst,3841,Flatdal,Telemark,6,3,1,1,1,0,0,0,0,0,0,0,0,1,0,1,14,"=""01.10.2003",Grunnarbeid (43120),11,2194393,Company 1071
Region Vest,5710,Skulestadmo,Hordaland,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,6,"=""21.01.2017",Grunnarbeid (43120),2,581149,Company 1072
Region Sørøst,3050,Mjøndalen,Buskerud,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,"=""16.01.2012",Grunnarbeid (43120),11,2491249,Company 1073
Region Øst,1719,Greåker,Østfold,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"=""01.02.2006",Grunnarbeid (43120),2,178652,Company 1074
Seksjon Ressurs og miljø,9430,Sandtorg,Troms,4,3,1,0,1,1,2,2,0,4,3,1,2,0,0,4,28,,,,,Company 1075
Region Vest,6868,Gaupne,Sogn og Fjordane,0,4,0,1,3,0,2,0,0,0,0,0,2,0,0,7,19,"=""05.03.1998",Produksjon av betongprodukter for bygge- og anleggsvirksomhet (23610),55,8404508,Company 1076
Region Midt,7970,Kolvereid,Nord-Trøndelag,5,1,2,0,0,1,1,1,1,1,0,0,0,0,0,1,14,"=""14.04.2008",Grunnarbeid (43120),14,5054977,Company 1077
Region Vest,5251,Søreidgrend,Hordaland,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"=""16.02.2005",Grunnarbeid (43120),2,517796,Company 1078
Seksjon Ressurs og miljø,2750,Gran,Oppland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,"=""20.02.2006",Skogskjøtsel og andre skogbruksaktiviteter (02100),3,276644,Company 1079
Region Nord,9402,Harstad,Troms,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,7,"=""21.07.2012",Grunnarbeid (43120),17,984208,Company 1080
Region Vest,2166,Oppaker,Akershus,2,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,7,"=""04.01.2014","Utvinning fra grus- og sandtak, og utvinning av leire og kaolin (08120)",6,1862935,Company 1081
Region Sørøst,3280,Tjodalyng,Vestfold,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,5,,,,,Company 1082
Region Sørøst,3011,Drammen,Buskerud,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,3,7,,,,,Company 1083
Region Sørøst,3750,Drangedal,Telemark,2,0,1,2,1,0,0,0,0,0,0,0,1,0,0,2,9,"=""04.05.2011",Grunnarbeid (43120),18,1427442,Company 1084
Region Sørvest,4230,Sand,Rogaland,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,10,"=""28.06.2007",Grunnarbeid (43120),13,1429705,Company 1085
Region Nord,8376,Leknes,Nordland,3,2,3,0,1,0,0,0,0,0,1,1,2,0,0,14,27,"=""01.03.1999",Grunnarbeid (43120),13,2533246,Company 1086
Region Midt,7633,Frosta,Nord-Trøndelag,4,4,2,0,1,1,0,0,0,1,1,0,0,0,0,0,14,"=""20.07.2010",Grunnarbeid (43120),19,3712512,Company 1087
Region Sørøst,3511,Hønefoss,Buskerud,2,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,8,"=""28.04.2008",Grunnarbeid (43120),4,503685,Company 1088
Region Øst,1393,Vollen,Akershus,21,1,9,0,1,5,10,3,0,1,0,0,1,0,0,15,67,"=""22.11.2005",Annen spesialisert bygge- og anleggsvirksomhet (43990),92,26429188,Company 1089
Region Øst,1820,Spydeberg,Østfold,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,7,"=""06.04.2009",Grunnarbeid (43120),4,1486988,Company 1090
Region Sørvest,4312,Sandnes,Rogaland,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,5,"=""15.08.2013",Grunnarbeid (43120),,893469,Company 1091
Region Øst,1684,Vesterøy,Østfold,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,7,,,,,Company 1092
Region Sørøst,3158,Andebu,Vestfold,2,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,7,"=""06.02.2014",Grunnarbeid (43120),3,635993,Company 1093
Region Vest,5419,Fitjar,Hordaland,2,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,9,"=""19.06.2002",Grunnarbeid (43120),15,4340950,Company 1094
Region Sørvest,4827,Frolands Verk,Aust-Agder,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,7,"=""25.06.2012",Grunnarbeid (43120),2,171877,Company 1095
Seksjon Ressurs og miljø,7113,Husbysjøen,Sør-Trøndelag,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5,8,,,,,Company 1096
Region Midt,7024,Trondheim,Sør-Trøndelag,3,0,1,2,0,0,2,1,0,0,0,0,1,0,0,0,10,,,,,Company 1097
Region Vest,6996,Vadheim,Sogn og Fjordane,3,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,8,,,,,Company 1098
Region Vest,5336,Tjeldstø,Hordaland,7,0,2,1,0,1,0,2,2,2,0,0,0,0,0,0,17,"=""21.02.2008",Oppføring av bygninger (41200),16,2929445,Company 1099
Region Nord,8093,Kjerringøy,Nordland,3,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,8,"=""09.01.2014",Grunnarbeid (43120),8,615576,Company 1100
Region Sørvest,4308,Sandnes,Rogaland,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,7,"=""06.10.2007",Grunnarbeid (43120),,,Company 1101
Region Nord,7970,Kolvereid,Nord-Trøndelag,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,5,"=""29.03.2000",Engroshandel med byggevarer ikke nevnt annet sted (46739),3,268178,Company 1102
Region Sørvest,4848,Arendal,Aust-Agder,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,5,,,,,Company 1103
Seksjon Ressurs og miljø,7863,Overhalla,Nord-Trøndelag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,Company 1104
Region Øst,2631,Ringebu,Oppland,5,2,2,1,1,2,1,0,1,0,1,0,0,0,0,0,16,"=""24.06.2003",Grunnarbeid (43120),23,1387669,Company 1105
Region Øst,1765,Halden,Østfold,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,7,,,,,Company 1106
Region Øst,2388,Brumunddal,Hedmark,2,0,2,2,1,0,0,0,0,1,0,0,0,1,1,5,15,,,,,Company 1107
Region Midt,7165,Oksvoll,Sør-Trøndelag,5,2,0,1,2,0,0,0,0,0,1,0,0,0,0,0,11,,,,,Company 1108
Region Midt,7332,Løkken Verk,Sør-Trøndelag,5,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,9,"=""10.03.2011",Grunnarbeid (43120),13,2088978,Company 1109
Region Midt,7718,Steinkjer,Nord-Trøndelag,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,6,"=""19.02.1995",Grunnarbeid (43120),2,335882,Company 1110
Region Sørøst,3580,Geilo,Buskerud,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,"=""28.03.2012",Grunnarbeid (43120),5,417487,Company 1111
Region Øst,2270,Flisa,Hedmark,2,2,1,0,0,0,0,1,0,1,0,0,0,0,1,0,8,"=""07.12.2011",Grunnarbeid (43120),,105110,Company 1112
Region Sørøst,3270,Larvik,Vestfold,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,4,"=""27.03.2001",Grunnarbeid (43120),,,Company 1113
Region Øst,1911,Flateby,Akershus,3,1,1,2,0,1,0,1,0,0,0,0,0,0,0,1,10,"=""05.07.2012",Grunnarbeid (43120),9,3209430,Company 1114
Region Nord,8907,Brønnøysund,Nordland,6,2,4,2,3,2,1,2,0,1,3,0,1,0,0,8,35,"=""20.03.2012",Grunnarbeid (43120),38,3474809,Company 1115
Region Sørøst,3050,Mjøndalen,Buskerud,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,"=""14.08.2012",Grunnarbeid (43120),,,Company 1116
Seksjon Ressurs og miljø,3750,Drangedal,Telemark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,"=""30.08.2012",Tjenester tilknyttet skogbruk (02400),1,43328,Company 1117
Region Nord,8410,Lødingen,Nordland,2,1,1,0,0,1,0,0,0,0,0,3,0,0,0,0,8,"=""25.06.2010",Reparasjon av maskiner (33120),2,88593,Company 1118
Region Nord,8250,Rognan,Nordland,20,10,13,3,2,3,1,3,0,2,1,0,0,0,1,2,61,"=""10.02.2004",Bygging av vann- og kloakkanlegg (42210),73,13539412,Company 1119
Region Vest,5567,Skjoldastraumen,Rogaland,4,4,0,0,2,1,0,1,1,0,1,0,0,0,0,0,14,"=""07.05.1999",Grunnarbeid (43120),9,1459983,Company 1120
Region Nord,9515,Alta,Finnmark,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,,,,,Company 1121
Region Sørøst,3753,Tørdal,Telemark,4,2,1,2,0,1,0,1,1,0,0,0,0,0,0,1,13,,,,,Company 1122
Region Sørøst,3618,Skollenborg,Buskerud,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,"=""15.03.2017",Grunnarbeid (43120),1,349885,Company 1123
Region Sørøst,3070,Sande i Vestfold,Vestfold,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6,"=""19.04.2005",Oppføring av bygninger (41200),,,Company 1124
Region Sørøst,3057,Solbergelva,Buskerud,8,2,3,0,3,1,1,0,0,0,1,0,1,0,0,0,20,"=""06.07.2006",Grunnarbeid (43120),14,4394688,Company 1125
Region Sørøst,3895,Edland,Telemark,2,2,0,2,1,1,1,1,0,1,1,0,0,0,0,0,12,"=""19.02.1995",Grunnarbeid (43120),2,,Company 1126
Region Sørøst,3330,Skotselv,Buskerud,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"=""10.05.1999",Grunnarbeid (43120),,,Company 1127
Region Øst,2550,Os i Østerdalen,Hedmark,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,"=""06.02.2014",Grunnarbeid (43120),8,584290,Company 1128
Region Øst,1581,Rygge,Østfold,2,1,2,0,0,1,0,0,0,3,0,0,0,0,0,0,9,"=""10.01.2013",Bryting av stein til bygge- og anleggsvirksomhet (08111),4,1432472,Company 1129
Region Nord,8902,Brønnøysund,Nordland,10,3,3,0,2,1,2,5,1,3,1,1,1,0,0,0,33,"=""12.03.1995",Grunnarbeid (43120),20,11867873,Company 1130
Seksjon Ressurs og miljø,6630,Tingvoll,Møre og Romsdal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,"=""19.07.2011",Tjenester tilknyttet skogbruk (02400),,470277,Company 1131
Region Sørvest,4700,Vennesla,Vest-Agder,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,"=""12.03.1995",Annen spesialisert bygge- og anleggsvirksomhet (43990),1,,Company 1132
Region Øst,1338,Sandvika,Akershus,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,3,7,"=""06.10.1998",Rørleggerarbeid (43221),5,1108886,Company 1133
Region Øst,2930,Bagn,Oppland,9,2,5,1,2,2,0,2,1,4,1,0,0,1,1,2,33,"=""12.06.2012",Grunnarbeid (43120),57,21025021,Company 1134
Region Vest,5258,Blomsterdalen,Hordaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"=""29.06.2010",Rørleggerarbeid (43221),12,3434345,Company 1135
Region Nord,9845,Tana,Finnmark,2,2,1,2,1,1,1,0,0,1,0,0,1,0,0,4,16,"=""07.05.2015",Grunnarbeid (43120),6,945679,Company 1136
Region Nord,9515,Alta,Finnmark,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,"=""25.11.2013",Annen spesialisert bygge- og anleggsvirksomhet (43990),7,877652,Company 1137
Region Vest,5337,Rong,Hordaland,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,"=""07.02.2013",Beplantning av hager og parkanlegg (81300),,35148,Company 1138
Region Øst,2364,Næroset,Hedmark,3,0,0,3,0,1,1,0,0,0,0,0,0,0,0,1,9,"=""26.01.2012",Grunnarbeid (43120),7,1174140,Company 1139
Region Sørvest,4376,Helleland,Rogaland,5,5,0,2,0,0,5,0,0,0,0,0,1,0,0,0,18,"=""23.10.2010",Grunnarbeid (43120),9,2223606,Company 1140
Region Sørøst,3615,Kongsberg,Buskerud,10,11,3,2,3,1,2,0,0,1,2,0,1,1,0,1,38,"=""05.01.2011",Grunnarbeid (43120),53,3325695,Company 1141
Region Sørøst,3358,Nedre Eggedal,Buskerud,3,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,"=""02.07.2012",Grunnarbeid (43120),6,2815263,Company 1142
Region Nord,8907,Brønnøysund,Nordland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Company 1143
Seksjon Ressurs og miljø,3890,Vinje,Telemark,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,"=""03.03.2008",Annen spesialisert bygge- og anleggsvirksomhet (43990),2,726668,Company 1144
Region Øst,3018,Drammen,Buskerud,18,10,7,0,0,0,6,1,0,0,0,0,0,0,0,1,43,"=""20.02.2007",Grunnarbeid (43120),54,12785296,Company 1145
Region Nord,8530,Bjerkvik,Nordland,2,3,1,0,1,1,0,0,0,1,0,0,0,0,0,0,9,,,,,Company 1146
Region Øst,1850,Mysen,Østfold,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6,"=""08.10.2013",Grunnarbeid (43120),9,1185347,Company 1147
Region Nord,9505,Alta,Finnmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"=""19.02.2014",Bygging av bruer og tunneler (42130),391,57228644,Company 1148
Region Sørvest,4646,Finsland,Vest-Agder,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,"=""13.08.2013",Grunnarbeid (43120),4,678891,Company 1149
Region Sørvest,4054,Tjelta,Rogaland,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,"=""03.08.1999",Andre post- og budtjenester (53200),3,,Company 1150
Region Nord,8120,Nygårdsjøen,Nordland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Company 1151
Region Nord,9600,Hammerfest,Finnmark,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"=""03.04.2014",Grunnarbeid (43120),14,427621,Company 1152
Region Øst,1555,Son,Akershus,7,2,3,0,1,2,1,0,0,0,0,0,1,0,0,0,17,"=""20.03.2002",Beplantning av hager og parkanlegg (81300),36,7148613,Company 1153
Region Nord,9107,Kvaløya,Troms,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,7,"=""06.08.2013",Grunnarbeid (43120),3,694526,Company 1154
Region Midt,7717,Steinkjer,Nord-Trøndelag,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,4,"=""27.06.2012",Grunnarbeid (43120),5,379137,Company 1155
Region Vest,5986,Hosteland,Hordaland,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,Company 1156
Region Vest,5585,Sandeid,Rogaland,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,"=""30.10.2007",Grunnarbeid (43120),6,470381,Company 1157
Region Vest,5863,Bergen,Hordaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"=""29.11.2011",Utleie og leasing av bygge- og anleggsmaskiner og -utstyr (77320),7,1681444,Company 1158
Region Vest,5722,Dalekvam,Hordaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Company 1159
Region Øst,2384,Brumunddal,Hedmark,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,"=""15.01.2015",Grunnarbeid (43120),3,436011,Company 1160
Region Øst,1712,Grålum,Østfold,8,4,3,0,2,1,0,1,0,1,0,0,0,0,0,0,20,,,,,Company 1161
Region Nord,9510,Alta,Finnmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Company 1162
Region Sørøst,3256,Larvik,Vestfold,3,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,8,,,,,Company 1163
Region Nord,9310,Sørreisa,Troms,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,5,,,,,Company 1164
Region Nord,9517,Alta,Finnmark,3,1,2,0,1,1,0,0,2,2,1,0,0,0,0,0,13,"=""18.03.2004",Grunnarbeid (43120),6,793432,Company 1165
Region Sørvest,4636,Kristiansand S,Vest-Agder,4,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,9,"=""12.06.2010",Grunnarbeid (43120),32,2630664,Company 1166
Region Sørvest,4480,Kvinesdal,Vest-Agder,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,7,"=""10.08.2013",Grunnarbeid (43120),2,620224,Company 1167
Region Sørøst,3340,Åmot,Buskerud,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,3,"=""26.01.2013",Grunnarbeid (43120),1,282147,Company 1168
