region,postcode,place,county,Gravemaskin - belter,Lastebiler,Hjullastere,Traktorer,Maskinhengere,Gravemaskin - hjul,Minimaskiner < 5tonn,Dumpere,Borevogner,Knuseverk,Trekkvogner,Kompressorer,Containerbiler,Bulldosere,Veghøvler,Andre,Maskiner Totalt,Registrering år,Næring,Antall ansatte,Omsetning EUR,Name
Region Øst,2940,Heggenes,Oppland,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,5,"=""19.02.1995",Grunnarbeid (43120),1,79479,Company 504
Region Øst,1734,Hafslundsøy,Østfold,23,4,6,2,2,2,0,2,0,2,1,0,0,2,1,4,51,"=""22.09.2000",Grunnarbeid (43120),245,92364628,Company 505
Seksjon Ressurs og miljø,3539,Flå,Buskerud,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,5,"=""07.09.2000",Tjenester tilknyttet skogbruk (02400),,,Company 506
Region Nord,8800,Sandnessjøen,Nordland,4,1,1,1,0,0,0,0,1,2,0,0,0,0,0,1,11,"=""28.01.1998",Byggeteknisk konsulentvirksomhet (71121),,310036,Company 507
Region Nord,8647,Bleikvasslia,Nordland,3,3,3,1,0,0,1,0,6,2,0,0,0,0,0,6,25,"=""12.03.1995",Bygging av bruer og tunneler (42130),79,6322730,Company 508
Region Sørøst,3850,Kviteseid,Telemark,3,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,10,"=""19.02.1995",Utleie og leasing av bygge- og anleggsmaskiner og -utstyr (77320),1,354920,Company 509
Region Øst,2640,Vinstra,Oppland,4,3,4,2,0,1,0,2,0,6,0,0,0,0,0,0,22,"=""12.03.1995","Utvinning fra grus- og sandtak, og utvinning av leire og kaolin (08120)",13,1460278,Company 510
Region Midt,7072,Heimdal,Sør-Trøndelag,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,"=""20.02.1995",Rørleggerarbeid (43221),15,2189517,Company 511
Region Øst,1592,Våler i Østfold,Østfold,3,15,4,1,21,0,1,0,0,0,6,0,3,0,0,41,95,"=""12.03.1995",Bygging av veier og motorveier (42110),53,10257874,Company 512
Region Øst,1715,Yven,Østfold,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,6,,,,,Company 513
Seksjon Ressurs og miljø,3185,Skoppum,Vestfold,0,2,0,0,2,0,0,0,0,0,0,2,1,0,0,2,9,"=""11.08.2003",Bygging av vann- og kloakkanlegg (42210),12,2345275,Company 514
Region Øst,2609,Lillehammer,Oppland,1,2,4,0,0,1,0,0,0,0,0,0,0,0,0,3,11,"=""12.03.1995",Grunnarbeid (43120),,,Company 515
Region Sørvest,4534,Marnardal,Vest-Agder,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,"=""16.10.2012",Grunnarbeid (43120),3,1019779,Company 516
Region Øst,0758,Oslo,Oslo,1,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,6,,,,,Company 517
Region Sørøst,3005,Drammen,Buskerud,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,4,10,"=""19.12.2007",Bygging av veier og motorveier (42110),49,13038349,Company 518
Region Sørvest,4302,Sandnes,Rogaland,5,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,10,"=""13.05.1998",Grunnarbeid (43120),6,1466921,Company 519
Region Sørvest,4340,Bryne,Rogaland,4,0,1,2,1,1,1,1,0,0,0,1,0,0,0,2,14,"=""10.03.1999",Grunnarbeid (43120),,,Company 520
Region Midt,6260,Skodje,Møre og Romsdal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,Company 521
Region Vest,5293,Lonevåg,Hordaland,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,9,"=""07.01.1998",Grunnarbeid (43120),2,142840,Company 522
Region Nord,8601,Mo i Rana,Nordland,0,1,4,0,0,2,0,0,0,1,1,1,0,0,1,4,15,"=""19.02.1995",Annen spesialisert bygge- og anleggsvirksomhet (43990),23,6686131,Company 523
Region Vest,5730,Ulvik,Hordaland,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,6,"=""19.02.1995",Godstransport på vei (49410),,,Company 524
Seksjon Ressurs og miljø,0511,Oslo,Oslo,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,"=""12.03.1995",Bygging av vann- og kloakkanlegg (42210),8,882959,Company 525
Seksjon Ressurs og miljø,2647,Sør-Fron,Oppland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,Company 526
Region Midt,6200,Stranda,Møre og Romsdal,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,10,18,"=""12.03.1995",Oppføring av bygninger (41200),119,34855096,Company 527
Region Midt,6230,Sykkylven,Møre og Romsdal,3,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,9,"=""13.02.2003",Grunnarbeid (43120),8,854330,Company 528
Region Sørøst,3089,Holmestrand,Vestfold,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,9,"=""25.01.2002",Grunnarbeid (43120),13,2224977,Company 529
Region Sørvest,4735,Evje,Aust-Agder,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,"=""10.04.1997",Grunnarbeid (43120),,,Company 530
Region Sørvest,4520,Lindesnes,Vest-Agder,4,3,1,2,1,1,1,1,0,0,0,0,0,0,0,0,14,"=""12.03.1995",Grunnarbeid (43120),20,3054509,Company 531
Region Øst,2953,Beitostølen,Oppland,6,0,4,3,1,2,0,2,2,1,0,0,0,0,0,5,26,"=""05.02.2003",Grunnarbeid (43120),25,2542183,Company 532
Region Øst,2026,Skjetten,Akershus,9,1,2,1,1,1,1,3,0,0,0,0,0,0,0,0,19,"=""12.03.2003",Grunnarbeid (43120),22,8957647,Company 533
Region Nord,9750,Honningsvåg,Finnmark,2,1,3,0,2,1,1,0,0,0,0,0,1,0,0,1,12,"=""17.04.2000",Grunnarbeid (43120),3,486193,Company 534
Region Vest,6789,Loen,Sogn og Fjordane,9,4,7,1,1,0,1,2,1,5,1,0,0,0,1,0,33,"=""19.02.1995",Bygging av veier og motorveier (42110),33,3958595,Company 535
Seksjon Ressurs og miljø,2353,Stavsjø,Hedmark,0,2,0,0,2,0,0,0,2,0,0,2,1,0,0,2,11,,,,,Company 536
Region Sørvest,4857,Arendal,Aust-Agder,5,1,4,1,0,0,3,3,0,4,0,0,0,0,0,1,22,,,,,Company 537
Seksjon Ressurs og miljø,2388,Brumunddal,Hedmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,Company 538
Region Sørvest,4323,Sandnes,Rogaland,10,3,4,1,1,2,2,2,0,1,0,0,1,0,0,2,29,"=""20.02.1995",Grunnarbeid (43120),31,7544828,Company 539
Region Sørvest,4323,Sandnes,Rogaland,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,8,"=""13.03.2001",Grunnarbeid (43120),6,822053,Company 540
Region Sørvest,4755,Hovden i Setesdal,Aust-Agder,14,17,8,6,2,2,1,3,2,5,2,0,0,1,2,4,69,"=""27.08.1998",Grunnarbeid (43120),68,14003324,Company 541
